Id Marker Origin End
2312 0 167 603
2313 0 603 333
2314 0 604 311
2315 0 155 604
2316 0 92 604
2317 0 604 312
2318 0 605 311
2319 0 178 605
2320 0 92 605
2321 0 605 352
2322 0 606 311
2323 0 47 606
2324 0 178 606
2325 0 606 333
2326 0 607 312
2327 0 172 607
2328 0 92 607
2329 0 607 341
2330 0 608 313
2331 0 8 608
2332 0 156 608
2333 0 609 313
2334 0 8 609
2335 0 157 609
2336 0 609 315
2337 0 610 313
2338 0 157 610
2339 0 84 610
2340 0 610 314
2341 0 611 314
2342 0 48 611
2343 0 157 611
2344 0 611 316
2345 0 612 314
2346 0 48 612
2347 0 158 612
2348 0 612 317
2349 0 613 315
2350 0 157 613
2351 0 88 613
2352 0 613 316
2353 0 614 315
2354 0 8 614
2355 0 168 614
2356 0 615 315
2357 0 168 615
2358 0 88 615
2359 0 615 327
2360 0 616 316
2361 0 169 616
2362 0 88 616
2363 0 616 328
2364 0 617 316
2365 0 48 617
2366 0 169 617
2367 0 617 335
2368 0 618 317
2369 0 158 618
2370 0 94 618
2371 0 618 318
2372 0 619 317
2373 0 181 619
2374 0 94 619
2375 0 619 358
2376 0 620 317
2377 0 48 620
2378 0 181 620
2379 0 620 335
2380 0 621 318
2381 0 175 621
2382 0 94 621
2383 0 621 347
2384 0 622 319
2385 0 15 622
2386 0 159 622
2387 0 623 319
2388 0 160 623
2389 0 85 623
2390 0 623 320
2391 0 624 319
2392 0 15 624
2393 0 160 624
2394 0 624 321
2395 0 625 320
2396 0 20 625
2397 0 160 625
2398 0 625 322
2399 0 626 320
2400 0 20 626
2401 0 161 626
2402 0 626 324
2403 0 627 321
2404 0 160 627
2405 0 87 627
2406 0 627 322
2407 0 628 321
2408 0 15 628
2409 0 166 628
2410 0 629 322
2411 0 20 629
2412 0 167 629
2413 0 629 334
2414 0 630 323
2415 0 161 630
2416 0 91 630
2417 0 630 324
2418 0 631 323
2419 0 173 631
2420 0 91 631
2421 0 631 343
2422 0 632 324
2423 0 20 632
2424 0 176 632
2425 0 632 334
2426 0 633 324
2427 0 176 633
2428 0 91 633
2429 0 633 348
2430 0 634 325
2431 0 162 634
2432 0 86 634
2433 0 634 326
2434 0 635 325
2435 0 14 635
2436 0 162 635
2437 0 635 327
2438 0 636 325
2439 0 163 636
2440 0 86 636
2441 0 636 329
2442 0 637 325
2443 0 14 637
2444 0 163 637
2445 0 638 326
2446 0 21 638
2447 0 162 638
2448 0 638 328
2449 0 639 326
2450 0 21 639
2451 0 164 639
2452 0 639 332
2453 0 640 326
2454 0 164 640
2455 0 86 640
2456 0 640 330
2457 0 641 327
2458 0 162 641
2459 0 88 641
2460 0 641 328
2461 0 642 327
2462 0 14 642
2463 0 168 642
2464 0 643 328
2465 0 21 643
2466 0 169 643
2467 0 643 336
2468 0 644 329
2469 0 3 644
2470 0 163 644
2471 0 645 329
2472 0 3 645
2473 0 165 645
2474 0 646 329
2475 0 165 646
2476 0 86 646
2477 0 646 330
2478 0 647 330
2479 0 51 647
2480 0 164 647
2481 0 647 331
2482 0 648 330
2483 0 51 648
2484 0 165 648
2485 0 649 331
2486 0 164 649
2487 0 100 649
2488 0 649 332
2489 0 650 331
2490 0 195 650
2491 0 100 650
2492 0 650 385
2493 0 651 331
2494 0 51 651
2495 0 195 651
2496 0 652 332
2497 0 21 652
2498 0 184 652
2499 0 652 336
2500 0 653 332
2501 0 184 653
2502 0 100 653
2503 0 653 365
2504 0 654 333
2505 0 167 654
2506 0 93 654
2507 0 654 334
2508 0 655 333
2509 0 178 655
2510 0 93 655
2511 0 655 353
2512 0 656 334
2513 0 176 656
2514 0 93 656
2515 0 656 349
2516 0 657 335
2517 0 169 657
2518 0 95 657
2519 0 657 336
2520 0 658 335
2521 0 181 658
2522 0 95 658
2523 0 658 359
2524 0 659 336
2525 0 184 659
2526 0 95 659
2527 0 659 362
2528 0 660 337
2529 0 12 660
2530 0 170 660
2531 0 661 337
2532 0 12 661
2533 0 171 661
2534 0 661 339
2535 0 662 337
2536 0 171 662
2537 0 89 662
2538 0 662 338
2539 0 663 338
2540 0 49 663
2541 0 171 663
2542 0 663 340
2543 0 664 338
2544 0 49 664
2545 0 172 664
2546 0 664 341
2547 0 665 339
2548 0 171 665
2549 0 97 665
2550 0 665 340
2551 0 666 339
